empty_slots,free_bikes,id,latitude,longitude,name,timestamp
11,8,4458cd04d9fb8c770ac4bae9d9db2d63,43.69263249999999,-79.4627536,Eglinton Ave W / Gilbert Ave,2023-11-17 15:55:45.650000-05:00
23,0,8db545a0135f7b92022fbdbbc75af6c4,43.6666667,-79.41166666666668,Bathurst Subway Station,2023-11-17 15:55:45.264000-05:00
4,19,940aa4a33247df5ea989d1b07e125e5d,43.635023,-79.399505,Little Norway Park,2023-11-17 15:55:44.285000-05:00
6,8,6e21dd07c568ac71711f1358b58c7f3c,43.688028,-79.460265,Bert Robinson Park,2023-11-17 15:55:45.659000-05:00
0,14,a2e02c044b1d003adb0993f8da78ee58,43.6637403,-79.39806449999999,St. George St / Hoskin Ave,2023-11-17 15:55:45.003000-05:00
3,8,56275b952451bea6cdc0a9e666ea363f,43.648437,-79.39838,Vanauley St / Queen St W - SMART,2023-11-17 15:55:44.580000-05:00
5,10,479d21ebdac47eb8e30a209268e0bebe,43.644887,-79.45641169999999,High Park Blvd / Parkside Dr,2023-11-17 15:55:45.086000-05:00
11,3,2383fa5f5c21140fe68f8b6dda91a1b1,43.6460145694434,-79.39960497726345,Maud St / Adelaide St W,2023-11-17 15:55:44.723000-05:00
10,0,2037c7d47c8b7babcd2c4a058a66a6c8,43.6571,-79.4056,College St / Borden St,2023-11-17 15:55:45.201000-05:00
2,9,cc1432c52b1e87a738180d369ed1136b,43.653359,-79.365023,Berkeley St / Adelaide St E - SMART,2023-11-17 15:55:45.467000-05:00
14,1,71debce521f35fd4e280e8ee1e2dd8cc,43.656296,-79.414663,80 Clinton St,2023-11-17 15:55:45.317000-05:00
15,0,37b4b6822fe05d33d64c2a174a23a4ee,43.6846177,-79.39245919999999,1303 Yonge St - SMART,2023-11-17 15:55:44.365000-05:00
10,1,eb20e0b8c7c8bf1fc4157a3b715e2837,43.6543604,-79.4655296,High Park Subway Station,2023-11-17 15:55:44.455000-05:00
14,0,d00c14c6cffc4b0fb30239ec2410232c,43.713524,-79.400162,Briar Hill Ave / Yonge St - SMART,2023-11-17 15:55:45.287000-05:00
14,11,07c0bbd2b5c108bacb3a32250af2a076,43.7805505,-79.1301203,Rouge Hill GO Station,2023-11-17 15:55:44.690000-05:00
15,2,026bf7c2104a659ef0392f1c22bc6e17,43.6568254,-79.3966159,Ross St / Cecil St - SMART,2023-11-17 15:55:44.442000-05:00
18,0,179e575503c062aa31a47c6f67d492da,43.669244,-79.3894,Bay St / Bloor St W (West Side),2023-11-17 15:55:45.446000-05:00
3,12,359ce82fbe9d1e9e9962321e62f6066f,43.6616667,-79.40138888888889,Spadina Ave / Willcocks St,2023-11-17 15:55:44.360000-05:00
0,23,4a5734eee8c1c49197ffe9b992dd032a,43.64407,-79.3929,Clarence Square,2023-11-17 15:55:45.430000-05:00
15,1,fba4560a5641afdb69a97d04466ef788,43.683296,-79.418734,St Clair Ave W / Bathurst St.,2023-11-17 15:55:45.163000-05:00
10,3,25beb3f096bca69d14c865774e03b0e8,43.6954984002798,-79.48809394482672,Trethewey Dr / Black Creek Dr,2023-11-17 15:55:44.722000-05:00
8,6,1b853c3b515bbb20d04729c8059f08ee,43.6492,-79.50601999999999,Wendover Rd / Bloor St W (Green P),2023-11-17 15:55:45.631000-05:00
0,19,1053161189e46ea1c3122c94b644bc9d,43.651318,-79.36023,Trinity St /Front St E,2023-11-17 15:55:44.670000-05:00
22,1,722489dd6bf1f264c874454cf3f3f56a,43.65716,-79.46478,Pacific Ave / Glenlake Ave,2023-11-17 15:55:45.020000-05:00
19,27,41c3e6d3bf3bd993e7d56e22084ab5ee,43.646144,-79.377962,Front St W / Yonge St (Hockey Hall of Fame),2023-11-17 15:55:44.146000-05:00
17,2,ddba9c631e11fbae48e2be60289f60c2,43.6783213,-79.35822,Pretoria Ave / Broadview Ave,2023-11-17 15:55:44.751000-05:00
15,0,3654ed1bd8516fddd2364502084cd01b,43.74845421407306,-79.5504039969242,Lindylou Rd / Lanyard Rd,2023-11-17 15:55:44.184000-05:00
15,0,f4d33af4f0cfe71c2bc31fa004030b47,43.68688938028234,-79.40099513147447,St Clair Ave W / Avenue Rd ,2023-11-17 15:55:44.705000-05:00
7,28,c845b03b2ffaa03ebba13b5c61da3af2,43.640978,-79.376785,Bay St / Queens Quay W (Ferry Terminal),2023-11-17 15:55:45.578000-05:00
7,8,3d2b767a1af0d75059d1fd78079d1216,43.75919330632997,-79.49001046850891,Keele St / Catford Rd,2023-11-17 15:55:45.545000-05:00
22,0,f889b35bb8077eaa77f35bed4d524e89,43.68306889999999,-79.279682,Blantyre Park,2023-11-17 15:55:44.949000-05:00
13,2,7a271c4cbc993e06ac677f78d5b6ba4b,43.667076,-79.425116,Shaw St / Essex St - SMART,2023-11-17 15:55:44.690000-05:00
1,20,e3c4ef5e47b905992ebcd262cc3df594,43.666325,-79.3014,Kewbeach Ave / Kenilworth Ave,2023-11-17 15:55:45.166000-05:00
13,0,910e92b9e361308bb305c6780fce822f,43.6677246,-79.4041365,11 Spadina Rd,2023-11-17 15:55:44.732000-05:00
23,0,6fcf6974fe1a08b20ab7f70d70da6cb0,43.671561,-79.38117,200 Bloor St E,2023-11-17 15:55:45.455000-05:00
12,7,a3860ef7a1996bfe83863f7086adb77b,43.7561681,-79.2026694,Livingston Rd (Highland Creek Trail),2023-11-17 15:55:44.991000-05:00
0,11,58c0d439a59414e5e23bf5021e264d79,43.646162,-79.378912,Front St W / Bay St (North Side),2023-11-17 15:55:45.592000-05:00
27,0,f9095ffa2741d962cd7c3c3bef2ab8a7,43.6518918789007,-79.40577861712723,Bathurst St / Dundas St W,2023-11-17 15:55:44.671000-05:00
17,0,c5db2e6382e20bec3e404aaf7ea89ccb,43.6632257,-79.4397052,Wallace Ave / Pauline Ave,2023-11-17 15:55:44.625000-05:00
4,6,fbf3bb78beefa587d54c8b24e2533469,43.6720273,-79.3470557,Logan Ave / Bain Ave,2023-11-17 15:55:45.463000-05:00
